KOPIE DOKUMENTOW Z KAS FISKALNYCH
etykieta: 160524_153936_1501240287_8D49
od: 24.05.2016 15:39:00
do: 01.01.2021 17:22:00
nip: NIP:6412472651
data zamkniecia nosnika: 00-00-0000 00:00:00

 nr unikatowy   | nr doby | od                  | do

 CAD1501240287  |  00001  | 24.05.2016 15:39:00 | 24.05.2016 15:39:00
                |  00002  | 24.05.2016 18:18:00 | 25.05.2016 18:47:00
                |  00003  | 27.05.2016 09:52:00 | 27.05.2016 18:32:00
                |  00004  | 28.05.2016 09:12:00 | 28.05.2016 12:57:00
                |  00005  | 30.05.2016 09:42:00 | 30.05.2016 18:58:00
                |  00006  | 31.05.2016 10:01:00 | 31.05.2016 18:11:00
                |  00007  | 01.06.2016 09:17:00 | 01.06.2016 18:11:00
                |  00008  | 01.06.2016 18:11:00 | 02.06.2016 18:06:00
                |  00009  | 03.06.2016 09:34:00 | 03.06.2016 19:41:00
                |  00010  | 04.06.2016 09:04:00 | 04.06.2016 13:42:00
                |  00011  | 06.06.2016 09:46:00 | 06.06.2016 18:08:00
                |  00012  | 07.06.2016 09:09:00 | 07.06.2016 18:07:00
                |  00013  | 08.06.2016 09:23:00 | 08.06.2016 19:14:00
                |  00014  | 09.06.2016 09:08:00 | 09.06.2016 18:11:00
                |  00015  | 10.06.2016 09:13:00 | 10.06.2016 20:20:00
                |  00016  | 11.06.2016 09:12:00 | 11.06.2016 15:08:00
                |  00017  | 13.06.2016 08:40:00 | 13.06.2016 18:46:00
                |  00018  | 14.06.2016 11:04:00 | 14.06.2016 19:01:00
                |  00019  | 15.06.2016 09:09:00 | 15.06.2016 18:10:00
                |  00020  | 16.06.2016 09:16:00 | 16.06.2016 18:01:00
                |  00021  | 17.06.2016 09:42:00 | 17.06.2016 18:11:00
                |  00022  | 18.06.2016 09:31:00 | 18.06.2016 15:13:00
                |  00023  | 20.06.2016 10:00:00 | 20.06.2016 18:01:00
                |  00024  | 21.06.2016 11:06:00 | 21.06.2016 17:58:00
                |  00025  | 22.06.2016 09:22:00 | 22.06.2016 18:43:00
                |  00026  | 23.06.2016 09:28:00 | 23.06.2016 18:12:00
                |  00027  | 24.06.2016 09:30:00 | 24.06.2016 18:08:00
                |  00028  | 25.06.2016 09:32:00 | 25.06.2016 13:16:00
                |  00029  | 27.06.2016 09:36:00 | 27.06.2016 18:04:00
                |  00030  | 28.06.2016 09:26:00 | 28.06.2016 15:39:00
                |  00031  | 29.06.2016 09:32:00 | 29.06.2016 18:05:00
                |  00032  | 30.06.2016 09:16:00 | 30.06.2016 18:05:00
                |  00033  | 01.07.2016 09:28:00 | 01.07.2016 17:54:00
                |  00034  | 02.07.2016 09:16:00 | 02.07.2016 12:59:00
                |  00035  | 02.07.2016 13:37:00 | 04.07.2016 19:17:00
                |  00036  | 05.07.2016 09:46:00 | 05.07.2016 19:03:00
                |  00037  | 06.07.2016 09:27:00 | 06.07.2016 18:00:00
                |  00038  | 07.07.2016 09:32:00 | 07.07.2016 18:03:00
                |  00039  | 08.07.2016 09:07:00 | 08.07.2016 17:57:00
                |  00040  | 09.07.2016 09:05:00 | 09.07.2016 13:08:00
                |  00041  | 11.07.2016 09:12:00 | 11.07.2016 18:01:00
                |  00042  | 12.07.2016 09:15:00 | 12.07.2016 18:06:00
                |  00043  | 13.07.2016 09:06:00 | 13.07.2016 18:39:00
                |  00044  | 14.07.2016 09:34:00 | 14.07.2016 18:01:00
                |  00045  | 15.07.2016 10:02:00 | 15.07.2016 18:02:00
                |  00046  | 16.07.2016 09:34:00 | 16.07.2016 13:04:00
                |  00047  | 18.07.2016 10:08:00 | 18.07.2016 17:58:00
                |  00048  | 19.07.2016 09:28:00 | 19.07.2016 17:56:00
                |  00049  | 20.07.2016 09:33:00 | 20.07.2016 18:22:00
                |  00050  | 21.07.2016 09:28:00 | 21.07.2016 18:15:00
                |  00051  | 22.07.2016 09:19:00 | 22.07.2016 17:58:00
                |  00052  | 23.07.2016 09:45:00 | 23.07.2016 13:11:00
                |  00053  | 25.07.2016 09:06:00 | 25.07.2016 18:39:00
                |  00054  | 26.07.2016 09:32:00 | 26.07.2016 15:31:00
                |  00055  | 27.07.2016 09:15:00 | 27.07.2016 18:13:00
                |  00056  | 28.07.2016 09:04:00 | 28.07.2016 18:00:00
                |  00057  | 29.07.2016 09:22:00 | 29.07.2016 18:05:00
                |  00058  | 30.07.2016 09:13:00 | 30.07.2016 12:56:00
                |  00059  | 01.08.2016 09:26:00 | 01.08.2016 19:02:00
                |  00060  | 02.08.2016 09:30:00 | 02.08.2016 18:09:00
                |  00061  | 03.08.2016 09:05:00 | 03.08.2016 18:05:00
                |  00062  | 04.08.2016 09:33:00 | 04.08.2016 18:04:00
                |  00063  | 05.08.2016 09:11:00 | 05.08.2016 17:59:00
                |  00064  | 06.08.2016 09:04:00 | 06.08.2016 12:56:00
                |  00065  | 08.08.2016 09:28:00 | 08.08.2016 17:57:00
                |  00066  | 09.08.2016 09:33:00 | 09.08.2016 16:58:00
                |  00067  | 10.08.2016 09:30:00 | 10.08.2016 18:26:00
                |  00068  | 11.08.2016 09:06:00 | 11.08.2016 19:01:00
                |  00069  | 12.08.2016 09:33:00 | 12.08.2016 17:57:00
                |  00070  | 13.08.2016 09:16:00 | 13.08.2016 12:56:00
                |  00071  | 16.08.2016 09:13:00 | 16.08.2016 17:54:00
                |  00072  | 17.08.2016 09:48:00 | 17.08.2016 18:07:00
                |  00073  | 18.08.2016 09:25:00 | 18.08.2016 17:55:00
                |  00074  | 19.08.2016 09:14:00 | 19.08.2016 18:40:00
                |  00075  | 20.08.2016 10:09:00 | 20.08.2016 13:00:00
                |  00076  | 22.08.2016 09:41:00 | 22.08.2016 17:50:00
                |  00077  | 23.08.2016 09:06:00 | 23.08.2016 18:05:00
                |  00078  | 24.08.2016 09:30:00 | 24.08.2016 19:11:00
                |  00079  | 25.08.2016 10:10:00 | 25.08.2016 17:55:00
                |  00080  | 26.08.2016 09:14:00 | 26.08.2016 17:56:00
                |  00081  | 27.08.2016 10:21:00 | 27.08.2016 14:01:00
                |  00082  | 29.08.2016 09:29:00 | 29.08.2016 17:56:00
                |  00083  | 30.08.2016 09:49:00 | 30.08.2016 18:50:00
                |  00084  | 31.08.2016 09:40:00 | 31.08.2016 18:00:00
                |  00085  | 01.09.2016 09:24:00 | 01.09.2016 18:01:00
                |  00086  | 02.09.2016 10:18:00 | 02.09.2016 17:55:00
                |  00087  | 03.09.2016 09:15:00 | 03.09.2016 12:59:00
                |  00088  | 05.09.2016 09:54:00 | 05.09.2016 18:12:00
