Kod;Cena;CenaBrutto;NazwaDokumentu;ProduktID;ProduktNazwa;Ilosc;Jednostka;VAT;Wartosc;WartoscBrutto
5902741002631;5,94;6,42;B2B/384/12/20/KORP;8671;Herbatka Rasputin EKO 25x1,5g;5.0000;szt;8,00;29,70;32,08
5902741004062;7,37;7,74;B2B/384/12/20/KORP;8796;Herbatka Bomba witaminowa EKO 100g;5.0000;szt;5,00;36,85;38,69
5902741000422;3,41;3,68;B2B/384/12/20/KORP;8941;Anyż gwiazdkowy (kartonik) 30g;3.0000;szt;8,00;10,23;11,05
5902741001245;2,75;2,97;B2B/384/12/20/KORP;8946;Cynamon mielony (kartonik) 60g;6.0000;szt;8,00;16,50;17,82
5902741001658;2,09;2,26;B2B/384/12/20/KORP;8961;Imbir (kartonik) 60g;3.0000;szt;8,00;6,27;6,77
5902741001771;3,41;3,68;B2B/384/12/20/KORP;8963;Goździki (kartonik) 30g;7.0000;szt;8,00;23,87;25,78
5902741001924;8,36;9,03;B2B/384/12/20/KORP;8972;Kardamon mielony (kartonik) 50g;2.0000;szt;8,00;16,72;18,06
5902741001931;2,31;2,49;B2B/384/12/20/KORP;8973;Kminek mielony (kartonik) 60g;3.0000;szt;8,00;6,93;7,48
5902741002525;3,63;3,92;B2B/384/12/20/KORP;8975;Cynamon laska (kartonik) 40g;5.0000;szt;8,00;18,15;19,60
5902741002921;1,65;1,73;B2B/384/12/20/KORP;8978;Gorczyca czarna (kartonik) 70g;3.0000;szt;5,00;4,95;5,20
5902741003041;8,14;8,79;B2B/384/12/20/KORP;8986;Kardamon ziarno (kartonik) 40g;1.0000;szt;8,00;8,14;8,79
5902768527841;2,20;2,38;B2B/384/12/20/KORP;9013;Kmin rzymski (kartonik) 30g;2.0000;szt;8,00;4,40;4,75
5902741002020;2,97;3,21;B2B/384/12/20/KORP;9028;Podlaska przyprawa myśliwska (kartonik) 50g;3.0000;szt;8,00;8,91;9,62
5902741002150;2,86;3,00;B2B/384/12/20/KORP;9040;Podlaska przyprawa do rosołu (kartonik) 50g;1.0000;szt;5,00;2,86;3,00
5902741002174;2,31;2,49;B2B/384/12/20/KORP;9042;Podlaska przyprawa dla wegetarian (kartonik) 50g;1.0000;szt;8,00;2,31;2,49
5902741002211;3,19;3,45;B2B/384/12/20/KORP;9046;Podlaska przyprawa 5 smaków (kartonik) 50g;2.0000;szt;8,00;6,38;6,89
5902741003522;2,31;2,49;B2B/384/12/20/KORP;9067;Podlaska przyprawa do peklowania mięsa 40g;2.0000;szt;8,00;4,62;4,99
5902741003546;4,07;4,40;B2B/384/12/20/KORP;9068;Podlaska przyprawa do pierników (karonik) 60g;3.0000;szt;8,00;12,21;13,19
5902741004529;4,40;4,75;B2B/384/12/20/KORP;9070;Przyprawa do kawy (kartonik) 50g;5.0000;szt;8,00;22,00;23,76
5902768527346;4,18;4,51;B2B/384/12/20/KORP;9078;Przyprawa pomidorowo-bazyliowa z czosnkiem niedźwiedzim 40g;1.0000;szt;8,00;4,18;4,51
5902741008572;13,75;14,44;B2B/384/12/20/KORP;9151;Konfitura z płatków róży EKO 180g;6.0000;szt;5,00;82,50;86,63
5902741004543;4,51;4,87;B2B/384/12/20/KORP;11944;Cynamon Cejloński mielony 60g;5.0000;szt;8,00;22,55;24,35
5902581618634;4,18;4,51;B2B/384/12/20/KORP;12470;Herbatka Dobry humor EKO - herbatka w piramidkach 15x3g;3.0000;szt;8,00;12,54;13,54
5902741005328;3,96;4,28;B2B/384/12/20/KORP;12500;Herbatka Dla nerwusów EKO 25x1,5g;2.0000;szt;8,00;7,92;8,55
5902581617170;6,72;7,06;B2B/384/12/20/KORP;12780;Konfitura z żurawiny EKO 180g;2.0000;szt;5,00;13,44;14,11
5902581616968;9,35;11,50;B2B/384/12/20/KORP;12788;Herbata Czarna Rozgrzewająca EKO 100g;3.0000;szt;23,00;28,05;34,50
5902581617583;9,35;11,50;B2B/384/12/20/KORP;12804;Herbata Czarna z Cynamonem i Goździkami EKO 100g;2.0000;szt;23,00;18,70;23,00
5902581617392;8,25;10,15;B2B/384/12/20/KORP;13188;Herbata Czarna Waniliowa EKO 25x2g;1.0000;szt;23,00;8,25;10,15
5902581617378;4,73;5,82;B2B/384/12/20/KORP;13189;Herbata Czarna Rozgrzewająca EKO 25x2g;1.0000;szt;23,00;4,73;5,82
5903246861075;7,92;8,55;B2B/384/12/20/KORP;14266;Herbatka Świąteczna EKO 120g;5.0000;szt;8,00;39,60;42,77
5903246861532;83,60;102,83;B2B/384/12/20/KORP;14345;Skrzyneczka prezentowa - Świąteczna;2.0000;szt;23,00;167,20;205,66
5903246860641;6,49;6,81;B2B/384/12/20/KORP;14597;Mus dla serduszka EKO 190g;3.0000;szt;5,00;19,47;20,44
5903246864205;4,18;4,51;B2B/384/12/20/KORP;15870;Herbatka dla kobiet w ciąży EKO 25x2g;2.0000;szt;8,00;8,36;9,03
