vat,rabat,cena_netto,ean,nazwa_towaru,ilosc,kategoria
0,None,7.92,5902741000156,Mydlnica korzeÒ EKO 100g,None,Zio≥a jednorodne
0,None,2.64,5902741000163,Bylica ziele EKO 50g,None,Zio≥a jednorodne
0,None,5.5,5902741000170,Koniczyna czerwona kwiat EKO 25g,None,Zio≥a jednorodne
0,None,5.5,5902741000187,Koniczyna bia≥a kwiat EKO 25g,None,Zio≥a jednorodne
0,None,6.82,5902741000194,WiπzÛwka kwiat EKO 25g,None,Zio≥a jednorodne
0,None,3.19,5902741000200,Glistnik ziele EKO 50g,None,Zio≥a jednorodne
0,None,6.38,5902741000286,Lukrecja korzeÒ EKO 50g,None,Zio≥a jednorodne
0,None,3.08,5902741000323,Naw≥oÊ ziele EKO 50g,None,Zio≥a jednorodne
0,None,2.75,5902741000545,Hyzop ziele EKO 50g,None,Zio≥a jednorodne
0,None,5.28,5902741000682,Mniszek kwiat EKO 25g,None,Zio≥a jednorodne
0,None,10.67,5902741000699,RÛøa pπczki EKO 50g,None,Zio≥a jednorodne
0,None,3.41,5902741001115,Werbena ziele 50g,None,Zio≥a jednorodne
0,None,4.07,5902741001160,Porzeczka liúÊ EKO 50g,None,Zio≥a jednorodne
0,None,6.93,5902741001191,Lawenda kwiat EKO 50g,None,Zio≥a jednorodne
0,None,8.58,5902741001368,Melisa liúÊ EKO 25x1.5g,None,Herbatki\Zio≥owe
0,None,5.06,5902741001375,Pokrzywa liúÊ EKO 25x1.5g,None,Herbatki\Zio≥owe
0,None,3.85,5902741001733,Przywrotnik EKO 25g,None,Zio≥a jednorodne
0,None,11.11,5902741002518,Gojnik ziele EKO 50g,None,Zio≥a jednorodne
0,None,5.83,5902741003072,Sza≥wia liúÊ EKO 25x1.5g,None,Herbatki\Zio≥owe
0,None,3.96,5902741003089,Skrzyp ziele EKO 25x1.5g,None,Herbatki\Zio≥owe
0,None,5.5,5902741003102,Koper w≥oski owoc EKO 25x2g,None,Herbatki\Zio≥owe
0,None,4.07,5902741003447,Oman korzeÒ 50g,None,Zio≥a jednorodne
0,None,10.34,5902741003454,OgÛrecznik ziele EKO 50g,None,Zio≥a jednorodne
0,None,4.29,5902741003577,Wid≥ak ziele (kartonik) 50g,None,Zio≥a jednorodne
0,None,3.52,5902741003713,Traganek ziele 50g,None,Zio≥a jednorodne
0,None,3.85,5902741003720,Karbieniec ziele 50g,None,Zio≥a jednorodne
0,None,6.71,5902741003751,Wielosi≥ korzeÒ 50g,None,Zio≥a jednorodne
0,None,12.54,5902741003775,RÛøeniec gÛrski k≥πcze EKO 50g,None,Zio≥a jednorodne
0,None,6.05,5902741003782,Z≥ocieÒ Maruna ziele EKO 50g,None,Zio≥a jednorodne
0,None,4.4,5902741003799,Werbena cytrynowa EKO 25g,None,Zio≥a jednorodne
0,None,3.41,5902741003812,Wrotycz balsamiczny ziele 50g,None,Zio≥a jednorodne
0,None,2.64,5902768527414,Kopytnik ziele EKO 50g,None,Zio≥a jednorodne
0,None,3.85,5902741003881,Krwiúciπg (kartonik) 50g,None,Zio≥a jednorodne
0,None,4.51,5902741003911,Dymnica (Kartonik) 50g,None,Zio≥a jednorodne
0,None,5.28,5902741003928,Stokrotka kwiat EKO 25g,None,Zio≥a jednorodne
0,None,5.5,5902741003942,Malwa czarna kwiat EKO 25g,None,Zio≥a jednorodne
0,None,3.52,5902741004017,Tatarak k≥πcze EKO 50g,None,Zio≥a jednorodne
0,None,4.62,5902741004024,Sosna pπczki EKO 50g,None,Zio≥a jednorodne
0,None,3.3,5902741004031,Dπb kora EKO 100g,None,Zio≥a jednorodne
0,None,6.16,5902741004161,Bez czarny kwiat EKO 50g,None,Zio≥a jednorodne
0,None,2.64,5902741004185,Brzoza liúÊ EKO 50g,None,Zio≥a jednorodne
0,None,3.63,5902741004192,G≥Ûg kwiat EKO 50g,None,Zio≥a jednorodne
0,None,6.38,5902741004215,Lipa kwiat EKO 30g,None,Zio≥a jednorodne
0,None,3.08,5902741004222,Pokrzywa liúÊ EKO 25g,None,Zio≥a jednorodne
0,None,3.3,5902741004239,Serdecznik ziele EKO 50g,None,Zio≥a jednorodne
0,None,8.25,5902741004406,RÛøa p≥atki EKO 20g,None,Zio≥a jednorodne
0,None,5.17,5902741004499,Lipa kwiat EKO 20x2g,None,Zio≥a jednorodne
0,None,3.63,5902741004567,Biedrzeniec korzeÒ EKO 25g,None,Zio≥a jednorodne
0,None,3.3,5902741004574,Bluszczyk ziele EKO 25g,None,Zio≥a jednorodne
0,None,3.63,5902741004581,Bodziszek cuchnπcy ziele EKO 25g,None,Zio≥a jednorodne
0,None,3.74,5902741004598,Bukwica ziele EKO 50g,None,Zio≥a jednorodne
0,None,2.64,5902741009272,Czernica liúÊ EKO 25g,None,Zio≥a jednorodne
0,None,6.05,5902741004628,Guz brzozy EKO 50g,None,Zio≥a jednorodne
0,None,2.75,5902741004642,Jeøyna liúÊ EKO 25g,None,Zio≥a jednorodne
0,None,3.19,5902741004659,Kobylak korzeÒ EKO 50g,None,Zio≥a jednorodne
0,None,2.97,5902741004673,Malina liúÊ EKO 25g,None,Zio≥a jednorodne
0,None,4.51,5902741004680,Miodunka ziele EKO 25g,None,Zio≥a jednorodne
0,None,2.64,5902741004697,OstroøeÒ ziele EKO 25g,None,Zio≥a jednorodne
0,None,3.74,5902741004703,Pokrzywa korzeÒ EKO 50g,None,Zio≥a jednorodne
0,None,2.64,5902741004710,Poziewnik ziele EKO 50g,None,Zio≥a jednorodne
0,None,3.08,5902741004727,Poziomka liúÊ EKO 25g,None,Zio≥a jednorodne
0,None,3.74,5902741004734,Przetacznik ziele EKO 50g,None,Zio≥a jednorodne
0,None,3.3,5902741004741,Rzepik ziele EKO 50g,None,Zio≥a jednorodne
0,None,5.17,5902741004758,ålaz kwiat EKO 20g,None,Zio≥a jednorodne
0,None,3.3,5902741004772,Uczep ziele EKO 50g,None,Zio≥a jednorodne
0,None,4.29,5902741004789,Wierzbownica drobnokwiatowa EKO 50g,None,Zio≥a jednorodne
0,None,5.17,5902741004796,Wrzos kwiat EKO 25g,None,Zio≥a jednorodne
0,None,2.86,5902741004802,Jarzπb kwiat EKO 25g,None,Zio≥a jednorodne
0,None,6.05,5902741004819,Tarnina kwiat EKO 25g,None,Zio≥a jednorodne
0,None,4.84,5902741004833,Wierzba kora EKO 100g,None,Zio≥a jednorodne
0,None,2.86,5902741004949,Przelot kwiat EKO 25g,None,Zio≥a jednorodne
0,None,3.3,5902741004963,PiÍciornik gÍsi ziele EKO 50g,None,Zio≥a jednorodne
0,None,4.4,5902741004994,Czosnek niedüwiedzi EKO 25g,None,Przyprawy EKO\Jednorodne
0,None,2.64,5902741005007,Janowiec ziele EKO 25g,None,Zio≥a jednorodne
0,None,4.84,5902741005014,Kuklik k≥πcze EKO 25g,None,Zio≥a jednorodne
0,None,2.42,5902741005021,Owies ziele EKO 40g,None,Zio≥a jednorodne
0,None,2.86,5902741005038,Kocanka kwiatostan EKO 25g,None,Zio≥a jednorodne
0,None,3.08,5902741005335,Skrzyp ziele EKO 25g,None,Zio≥a jednorodne
0,None,2.75,5902741005380,MiÍta liúÊ EKO 25g,None,Zio≥a jednorodne
0,None,4.95,5902741005489,S≥onecznik p≥atki EKO 25g,None,Zio≥a jednorodne
0,None,2.97,5902741005809,Krwawnik ziele EKO 50g,None,Zio≥a jednorodne
0,None,4.07,5902741005816,Dziurawiec ziele EKO 50g,None,Zio≥a jednorodne
0,None,16.17,5902741005823,Jasnota bia≥a kwiat EKO 25g,None,Zio≥a jednorodne
0,None,8.14,5902741005878,Przytulia ziele EKO 50g,None,Zio≥a jednorodne
0,None,6.6,5902741005939,Pokrzywa liúÊ EKO 100g,None,Zio≥a jednorodne
0,None,10.89,5902741005946,Wierzbownica drobnokwiatowa EKO 200g,None,Zio≥a jednorodne
0,None,4.18,5902741005953,Melisa liúÊ EKO 25g,None,Zio≥a jednorodne
0,None,4.84,5902741005960,Rumianek koszyczek EKO 25g,None,Zio≥a jednorodne
0,None,3.41,5902741005977,Sza≥wia liúÊ EKO 25g,None,Zio≥a jednorodne
0,None,8.69,5902741005984,Mniszek korzeÒ EKO 100g,None,Zio≥a jednorodne
0,None,5.94,5902741006011,Opuncja kwiat EKO 25g,None,Zio≥a jednorodne
0,None,3.08,5902741006042,Perz k≥πcze EKO 50g,None,Zio≥a jednorodne
0,None,3.41,5902741006059,Macierzanka ziele EKO 25g,None,Zio≥a jednorodne
0,None,6.27,5902741006097,Karczoch ziele EKO 50g,None,Zio≥a jednorodne
0,None,4.07,5902741006110,Nagietek p≥atki EKO 25g,None,Zio≥a jednorodne
8,None,16.17,5902741006417,Czystek (suplement) EKO 200g,None,Zio≥a jednorodne
8,None,6.05,5902741006424,Czystek (suplement) EKO 50g,None,Zio≥a jednorodne
0,None,2.64,5902741006615,Babka lancetowata liúÊ EKO 25g,None,Zio≥a jednorodne
0,None,2.31,5902741006707,Skrzyp ziele 25g,None,Zio≥a jednorodne
0,None,12.54,5902741006721,B≥awatek p≥atki EKO 25g,None,Zio≥a jednorodne
0,None,16.28,5902741006943,ØeÒ-szeÒ korzeÒ EKO 20g,None,Zio≥a jednorodne
0,None,3.63,5902741007230,Koper w≥oski owoc EKO 50g,None,Zio≥a jednorodne
8,None,5.94,5902741007247,Hibiskus EKO 50g,None,Herbatki\Zio≥owe
0,None,2.64,5902741007315,Jemio≥a ziele EKO 50g,None,Zio≥a jednorodne
